event_date,event_type,Arrested ,Total Cases,location
10/1/2021,Violence against civilians,8,17,Kaunia
10/1/2021,Riots,6,15,Kaunia
10/1/2021,Riots,10,55,Noamala
10/1/2021,Riots,10,55,Haluaghat
10/1/2021,Riots,12,57,Kaliganj
10/1/2021,Riots,12,57,Dhaka - Badda
10/1/2021,Violence against civilians,10,37,Dhamrai
10/1/2021,Riots,5,50,Cox's Bazar
10/1/2021,Riots,10,55,Haluaghat
10/1/2021,Riots,12,57,Pirojpur
10/1/2021,Riots,12,57,Bhajanpur
10/1/2021,Riots,10,55,Noamala
10/1/2021,Riots,10,55,Dhamrai
10/1/2021,Riots,12,57,Kashipur
10/1/2021,Riots,6,15,Sundarganj
10/1/2021,Riots,12,57,Faridpur
10/1/2021,Riots,12,57,Lalpur
10/1/2021,Riots,12,57,Patuakhali
10/1/2021,Riots,12,57,Dhaka
10/1/2021,Riots,10,55,Chittagong
10/1/2021,Riots,10,55,Jhikargachha
10/1/2021,Riots,10,55,Sujanagar
10/1/2021,Riots,12,57,Faridpur
10/1/2021,Riots,10,55,Gazipur
10/1/2021,Riots,12,57,Kalkini
10/1/2021,Riots,10,55,Raipura
10/1/2021,Violence against civilians,15,78,Paba
10/1/2021,Riots,6,15,Sirajganj
10/1/2021,Riots,6,15,Rajshahi
10/1/2021,Riots,10,55,Daulatkhan
10/1/2021,Riots,12,57,Shibganj
10/1/2021,Riots,12,57,Netrakona
10/1/2021,Riots,10,55,Netrakona
10/1/2021,Violence against civilians,10,37,Cox's Bazar
10/1/2021,Riots,6,15,Dhaka - Paltan
10/1/2021,Riots,10,55,Kaptai
10/1/2021,Riots,6,15,Noakhali
10/1/2021,Riots,10,55,Daudkandi
10/1/2021,Riots,10,55,Raipura
10/1/2021,Riots,12,57,Benapole
10/1/2021,Riots,12,57,Parshuram
10/1/2021,Violence against civilians,10,37,Dighinala
10/1/2021,Riots,10,55,Teknaf
10/1/2021,Riots,10,55,Saltha
10/1/2021,Riots,12,57,Shahjadpur
10/1/2021,Riots,10,55,Sharsha
10/1/2021,Violence against civilians,11,47,Balukhali
10/1/2021,Riots,12,57,Kazipur
10/1/2021,Riots,10,55,Patgram
10/1/2021,Riots,6,15,Char Kewar
10/1/2021,Riots,10,55,Banshkhali
10/1/2021,Violence against civilians,10,37,Kaptai
10/1/2021,Riots,12,57,Pirganj
10/1/2021,Riots,10,55,Sunamganj
10/1/2021,Violence against civilians,10,37,Mirsharai
10/1/2021,Riots,10,55,Kalkini
10/1/2021,Riots,10,55,Feni
10/1/2021,Riots,10,55,Kalia
10/1/2021,Riots,6,15,Chittagong
10/1/2021,Riots,12,57,Begumganj
10/1/2021,Riots,12,57,Chaumohani
10/1/2021,Riots,6,15,Dhaka
10/1/2021,Riots,10,55,Magura
10/1/2021,Riots,12,57,Sylhet
10/1/2021,Riots,12,57,Noakhali
10/1/2021,Riots,10,55,Bagura
10/1/2021,Riots,12,57,Satkania
10/1/2021,Riots,10,55,Chittagong
10/1/2021,Riots,6,15,Lama
10/1/2021,Riots,10,55,Nabiganj
10/1/2021,Riots,10,55,Chittagong
10/1/2021,Riots,10,55,Comilla
10/1/2021,Riots,10,55,Maulvibazar
10/1/2021,Riots,10,55,Kurigram
10/1/2021,Riots,6,15,Haziganj
10/1/2021,Riots,12,57,Shivalaya
10/1/2021,Riots,10,55,Sylhet
10/1/2021,Riots,12,57,Bhuapur
10/1/2021,Riots,12,57,Raozan
10/1/2021,Riots,12,57,Gangni
10/1/2021,Riots,12,57,Chittagong
10/1/2021,Riots,12,57,Bhedarganj
10/1/2021,Riots,12,57,Basurhat
10/1/2021,Riots,6,15,Sonagazi
10/1/2021,Riots,6,15,Mehendiganj
10/1/2021,Riots,10,55,Shariatpur
10/1/2021,Violence against civilians,10,37,Noamala
10/1/2021,Riots,12,57,Jhalokati
10/1/2021,Riots,10,55,Bhairab
10/1/2021,Violence against civilians,11,47,Tarail
10/1/2021,Riots,10,55,Barisal
10/1/2021,Riots,12,57,Barisal
10/1/2021,Riots,5,50,Tongi
10/1/2021,Riots,12,57,Shahjadpur
10/1/2021,Riots,10,55,Tanore
10/1/2021,Riots,12,57,Hakimpur
9/1/2021,Riots,10,55,Chittagong
9/1/2021,Violence against civilians,11,47,Kutupalong
9/1/2021,Violence against civilians,10,37,Rajshahi
9/1/2021,Riots,10,55,Jessore
9/1/2021,Riots,6,15,Kasba
9/1/2021,Riots,12,57,Nawabganj
9/1/2021,Riots,10,55,Bhanga
9/1/2021,Riots,12,57,Rangpur
9/1/2021,Riots,5,50,Gazipur
9/1/2021,Violence against civilians,11,47,Kushtia
9/1/2021,Riots,12,57,Bhola
9/1/2021,Violence against civilians,10,37,Dhunat
9/1/2021,Riots,6,15,Kachpur
9/1/2021,Riots,6,15,Kalapara
9/1/2021,Violence against civilians,8,17,Kalapara
9/1/2021,Riots,10,55,Lakshmipur
9/1/2021,Violence against civilians,10,37,Chakaria
9/1/2021,Riots,6,15,Kutubdia
9/1/2021,Riots,10,55,Bara Maheskhali
9/1/2021,Riots,12,57,Shariatpur
9/1/2021,Riots,10,55,Barakpur
9/1/2021,Riots,10,55,Rahmatpur
9/1/2021,Riots,10,55,Sandwip
9/1/2021,Riots,10,55,Chitalmari
9/1/2021,Riots,10,55,Morrelganj
9/1/2021,Riots,10,55,Chandpai
9/1/2021,Riots,12,57,Bera
9/1/2021,Riots,5,50,Kashinathpur
9/1/2021,Violence against civilians,10,37,Rajasthali
9/1/2021,Riots,12,57,Teknaf
9/1/2021,Riots,10,55,Muradnagar
9/1/2021,Violence against civilians,10,37,Baghaichhari
9/1/2021,Riots,10,55,Chittagong
9/1/2021,Riots,10,55,Subarnachar
9/1/2021,Riots,10,55,Fenchuganj
9/1/2021,Violence against civilians,8,17,Savar
9/1/2021,Battles,4,13,Khagrachhari
9/1/2021,Riots,12,57,Golapganj
9/1/2021,Riots,12,57,Dhaka
9/1/2021,Riots,10,55,Mymensingh
9/1/2021,Violence against civilians,10,37,Basurhat
9/1/2021,Violence against civilians,11,47,Maulvibazar
9/1/2021,Riots,10,55,Sadekpur
9/1/2021,Riots,10,55,Noakhali
9/1/2021,Riots,12,57,Nangalkot
9/1/2021,Violence against civilians,11,47,Narsingdi
9/1/2021,Riots,12,57,Ramu
9/1/2021,Battles,3,12,Mymensingh
9/1/2021,Violence against civilians,15,78,Raumari
9/1/2021,Riots,6,15,Chittagong
9/1/2021,Riots,12,57,Sunamganj
9/1/2021,Riots,12,57,Sadekpur
8/1/2021,Riots,10,55,Sreemangal
8/1/2021,Riots,12,57,Daudkandi
8/1/2021,Riots,6,15,Maulvibazar
8/1/2021,Riots,10,55,Chandanaish
8/1/2021,Riots,10,55,Dhaka
8/1/2021,Riots,10,55,Jhenaidah
8/1/2021,Riots,12,57,Lohagara
8/1/2021,Riots,12,57,Lohajang
8/1/2021,Riots,12,57,Kulaura
8/1/2021,Violence against civilians,10,37,Magnama
8/1/2021,Violence against civilians,11,47,Kumarkhali
8/1/2021,Riots,10,55,Chittagong
8/1/2021,Riots,13,58,Sreepur
8/1/2021,Riots,12,57,Bogra
8/1/2021,Riots,12,57,Netrakona
8/1/2021,Violence against civilians,10,37,Kalaroa
8/1/2021,Riots,5,50,Kalkini
8/1/2021,Riots,12,57,Kalkini
8/1/2021,Riots,12,57,Madhupur
8/1/2021,Riots,6,15,Barisal
8/1/2021,Riots,12,57,Monohardi
8/1/2021,Battles,8,44,Chakaria
8/1/2021,Riots,6,15,Dhaka
8/1/2021,Riots,12,57,Jessore
8/1/2021,Violence against civilians,10,37,Chuadanga
8/1/2021,Violence against civilians,15,78,Patgram
8/1/2021,Riots,10,55,Barura
8/1/2021,Violence against civilians,10,37,Noakhali
8/1/2021,Riots,12,57,Tebaria
8/1/2021,Riots,12,57,Mirzapur
8/1/2021,Riots,12,57,Shibganj
8/1/2021,Riots,12,57,Sherpur
8/1/2021,Riots,12,57,Madaripur
8/1/2021,Violence against civilians,10,37,Basurhat
8/1/2021,Riots,12,57,Char Fakira
8/1/2021,Riots,12,57,Rupsa
8/1/2021,Violence against civilians,11,47,Bagerhat
8/1/2021,Riots,6,15,Gazipur
